source_row,scallop_species_label,scientific_name,part_of_scallops,sampMatCode,sampMatText,source_comment
2,Iceland scallop,Chlamys islandica,Entire animal,A02HN#F01.A0B0P$F03.A06HY,"Chlamys islandica, Entire animal","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
3,Iceland scallop,Chlamys islandica,Adductor muscle,A02HN#F01.A0B0P,"Chlamys islandica, Adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
4,Iceland scallop,Chlamys islandica,Adductor muscle and Gonads,A02HN#F01.A0B0P$F20.A18FK,"Chlamys islandica, Adductor muscle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
5,Iceland scallop,Chlamys islandica,Gonads,A16FR#F01.A0B0P$F20.A18FK,"Chlamys islandica, Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
6,Iceland scallop,Chlamys islandica,Hepatopancreas,A16FR#F01.A0B0P$F20.A18FH,"Chlamys islandica, Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
7,Iceland scallop,Chlamys islandica,Entire animal excluding Hepatopancreas,A02HN#F01.A0B0P$F26.A07XE,"Chlamys islandica, Entire animal excluding Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
8,Iceland scallop,Chlamys islandica,Hepatopancreas and Mantle,A16FR#F01.A0B0P$F20.A18FH$F20.A18FJ,"Chlamys islandica, Hepatopancreas and Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
9,Iceland scallop,Chlamys islandica,"Hepatopancreas, Mantle and Gonads",A16FR#F01.A0B0P$F20.A18FH$F20.A18FJ$F20.A18FK,"Chlamys islandica, Hepatopancreas and Mantle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
10,Iceland scallop,Chlamys islandica,Mantle,A16FR#F01.A0B0P$F20.A18FJ,"Chlamys islandica, Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
11,Iceland scallop,Chlamys islandica,Entire animal excluding gonad and adductor muscle,A16FR#F01.A0B0P,"Chlamys islandica, Entire animal excluding gonad and adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
12,Queen scallop,Aequipecten opercularis,Entire animal,A02HV#F03.A06HY,"Aequipecten opercularis, Entire animal","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
13,Queen scallop,Aequipecten opercularis,Adductor muscle,A02HV,"Aequipecten opercularis, Adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
14,Queen scallop,Aequipecten opercularis,Adductor muscle and Gonads,A02HV#F20.A18FK,"Aequipecten opercularis, Adductor muscle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
15,Queen scallop,Aequipecten opercularis,Gonads,A16FR#F01.A055R$F20.A18FK,"Aequipecten opercularis, Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
16,Queen scallop,Aequipecten opercularis,Hepatopancreas,A16FR#F01.A055R$F20.A18FH,"Aequipecten opercularis, Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
17,Queen scallop,Aequipecten opercularis,Entire animal excluding Hepatopancreas,A02HV#F26.A07XE,"Aequipecten opercularis, Entire animal excluding Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
18,Queen scallop,Aequipecten opercularis,Hepatopancreas and Mantle,A16FR#F01.A055R$F20.A18FH$F20.A18FJ,"Aequipecten opercularis, Hepatopancreas and Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
19,Queen scallop,Aequipecten opercularis,"Hepatopancreas, Mantle and Gonads",A16FR#F01.A055R$F20.A18FH$F20.A18FJ$F20.A18FK,"Aequipecten opercularis, Hepatopancreas and Mantle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
20,Queen scallop,Aequipecten opercularis,Mantle,A16FR#F01.A055R$F20.A18FJ,"Aequipecten opercularis, Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
21,Queen scallop,Aequipecten opercularis,Entire animal excluding gonad and adductor muscle,A16FR#F01.A055R,"Aequipecten opercularis, Entire animal excluding gonad and adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
22,Variegated scallop,Mimachlamys varia,Entire animal,A02HN#F01.A0B28$F03.A06HY,"Mimachlamys varia, Entire animal","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
23,Variegated scallop,Mimachlamys varia,Adductor muscle,A02HN#F01.A0B28,"Mimachlamys varia, Adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
24,Variegated scallop,Mimachlamys varia,Adductor muscle and Gonads,A02HN#F01.A0B28$F20.A18FK,"Mimachlamys varia, Adductor muscle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
25,Variegated scallop,Mimachlamys varia,Gonads,A16FR#F01.A0B28$F20.A18FK,"Mimachlamys varia, Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
26,Variegated scallop,Mimachlamys varia,Hepatopancreas,A16FR#F01.A0B28$F20.A18FH,"Mimachlamys varia, Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
27,Variegated scallop,Mimachlamys varia,Entire animal excluding Hepatopancreas,A02HN#F01.A0B28$F26.A07XE,"Mimachlamys varia, Entire animal excluding Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
28,Variegated scallop,Mimachlamys varia,Hepatopancreas and Mantle,A16FR#F01.A0B28$F20.A18FH$F20.A18FJ,"Mimachlamys varia, Hepatopancreas and Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
29,Variegated scallop,Mimachlamys varia,"Hepatopancreas, Mantle and Gonads",A16FR#F01.A0B28$F20.A18FH$F20.A18FJ$F20.A18FK,"Mimachlamys varia, Hepatopancreas and Mantle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
30,Variegated scallop,Mimachlamys varia,Mantle,A16FR#F01.A0B28$F20.A18FJ,"Mimachlamys varia, Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
31,Variegated scallop,Mimachlamys varia,Entire animal excluding gonad and adductor muscle,A16FR#F01.A0B28,"Mimachlamys varia, Entire animal excluding gonad and adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
32,Great scallop / king scallop,Pecten maximus,Entire animal,A02HS#F03.A06HY,"Pecten maximus, Entire animal","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
33,Great scallop / king scallop,Pecten maximus,Adductor muscle,A02HS,"Pecten maximus, Adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
34,Great scallop / king scallop,Pecten maximus,Adductor muscle and Gonads,A02HS#F20.A18FK,"Pecten maximus, Adductor muscle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
35,Great scallop / king scallop,Pecten maximus,Gonads,A16FR#F01.A055P$F20.A18FK,"Pecten maximus, Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
36,Great scallop / king scallop,Pecten maximus,Hepatopancreas,A16FR#F01.A055P$F20.A18FH,"Pecten maximus, Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
37,Great scallop / king scallop,Pecten maximus,Entire animal excluding Hepatopancreas,A02HS#F26.A07XE,"Pecten maximus, Entire animal excluding Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
38,Great scallop / king scallop,Pecten maximus,Hepatopancreas and Mantle,A16FR#F01.A055P$F20.A18FH$F20.A18FJ,"Pecten maximus, Hepatopancreas and Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
39,Great scallop / king scallop,Pecten maximus,"Hepatopancreas, Mantle and Gonads",A16FR#F01.A055P$F20.A18FH$F20.A18FJ$F20.A18FK,"Pecten maximus, Hepatopancreas and Mantle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
40,Great scallop / king scallop,Pecten maximus,Mantle,A16FR#F01.A055P$F20.A18FJ,"Pecten maximus, Mantle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
41,Great scallop / king scallop,Pecten maximus,Entire animal excluding gonad and adductor muscle,A16FR#F01.A055P,"Pecten maximus, Entire animal excluding gonad and adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
42,Mediterranean scallop / Pilgrim's scallop,Pecten jacobaeus,Entire animal,A02HN#F01.A117Y$F03.A06HY,"Pecten jacobaeus, Entire animal","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
43,Mediterranean scallop / Pilgrim's scallop,Pecten jacobaeus,Adductor muscle,A02HN#F01.A117Y,"Pecten jacobaeus, Adductor muscle","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
44,Mediterranean scallop / Pilgrim's scallop,Pecten jacobaeus,Adductor muscle and Gonads,A02HN#F01.A117Y$F20.A18FK,"Pecten jacobaeus, Adductor muscle and Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
45,Mediterranean scallop / Pilgrim's scallop,Pecten jacobaeus,Gonads,A16FR#F01.A117Y$F20.A18FK,"Pecten jacobaeus, Gonads","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
46,Mediterranean scallop / Pilgrim's scallop,Pecten jacobaeus,Hepatopancreas,A16FR#F01.A117Y$F20.A18FH,"Pecten jacobaeus, Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
47,Mediterranean scallop / Pilgrim's scallop,Pecten jacobaeus,Entire animal excluding Hepatopancreas,A02HN#F01.A117Y$F26.A07XE,"Pecten jacobaeus, Entire animal excluding Hepatopancreas","For the the reporting of domoic acid, reporting the description of the sample analysed, as found in the column D, is strongly suggested under the data element 'sampMatText'"
